recipe_tag	coefficient
ganache	0.015114351709609807
garlic	0.013573818096256183
ginger	0.0018940570522455672
glutenfree	-0.025442364938468444
goldenbrown	0.009956269133278796
greenbeans	-0.003967645314164216
greenonion	0.011679761044011236
greenonions	-0.004021164895614323
grill	0.016481251983740328
grilled	0.04890741647158901
grilling	0.048420274435569406
groundbeef	-0.010420538524462555
gruyere	0.032678955374400104
gruyerecheese	0.025655529699069254
guacamole	0.04508025065869884
hamandcheese	-0.012408550068872239
hamburger	0.012118449931996853
handheld	0.003030229941717229
handtorndough	-0.0017119146511244913
hawaii	0.012118449931996742
hawaiian	0.07700078667645184
healthy	0.052870838407734606
herbs	0.04220274041263493
holiday	0.01834852782630355
homemade	0.0031526690325105345
indulgent	-0.029554833043963488
italian	0.06710871564734266
italiancuisine	-0.007755781882860461
jalapenos	0.03789308132491297
japanesecuisine	-0.015330977800497494
juicy	0.019976225814070096
ketchup	0.012118449931995188
keto	0.051709557610629946
kidfriendly	-0.003772137536496843
koreancuisine	-0.0017119146511239375
laminateddough	-0.029122628684162967
lasagna	0.010341274384624828
lattice	-0.006283022721344593
lettuce	0.05361491440501471
lime	-0.029270113985768426
loadednachos	-0.022093711250806836
lowcarb	0.05170955761062834
lunch	0.012561237406220884
macandcheese	-0.0023665887021845585
maple	0.031479333989062705
maplesyrup	0.055124024778197674
masa	0.003664285935497295
mayonnaise	0.012118449931996298
meal	-0.0002990720587727877
mealprep	0.04263452032767767
meat	0.07579540874593259
meatsauce	0.0024612994664987035
mexican	-0.014989789287955826
mexicancuisine	0.10830904017454922
mexicanfood	-0.02209371125080728
middleeastern	-0.07446408666889191
miso	0.004809954163571047
muffins	0.042634520327676784
mushroom	0.01369684842794724
mushrooms	0.004809954163570936
nachos	0.02950220134175681
noodles	0.00393490438984918
noodlesoup	0.004809954163570714
nori	0.07700078667645062
numbing	0.012590041474855021
nutmeg	0.006899519153767213
oat	0.01906795216151584
oats	-0.002557341387177208
onion	0.027414570443603712
onions	0.01222550331648265
onthego	0.07700078667645063
oven	0.036055572589133736
oysters	-0.021512458337895755
pacificislands	0.012118449931996353
pancakes	0.055124024778196654
parmesan	0.03267895537440016
partyfood	0.01908087454852017
pasta	0.05452504559579716
pastasauce	0.002461299466498149
pastry	0.002501994682800192
pastrycrust	0.029372865610229438
peach	-0.005771847525317245
peanutbutter	0.032250314544981125
peanutdressing	-0.03810080473389784
peanuts	0.0017099752508142974
peppers	-0.014545095981571193
pickledvegetables	-0.02392118785629511
pie	-0.005486731330694534
piecrust	-0.012792676886142775
pork	0.001709975250814367
porkbelly	0.004809954163570714
potatoes	-0.008831119059187854
protein	0.042634520327676895
puffpastry	0.03605557258913401
quiche	0.053524619481314824
quick	0.004642808040712262
ramen	0.004809954163570437
refreshing	0.003328068899222776
relish	0.007342120945403623
rhubarb	0.003328068899222554
rice	0.07700078667645036
ricevinegar	0.011679761044010181
rich	0.0344380084104237
ricotta	0.0006828719283759276
salad	-0.11317373271573337
salsa	0.02220754399248427
salty	-0.00236658870218564
sandwich	0.006886653669298366
sauce	0.007342120945403749
savory	0.031167229401710038
scallions	0.003604032303060427
scallops	0.03678896653958581
seafood	0.06198486798614277
sesame	0.04127604695423668
sesameoil	0.011679761044010126
sesameseeds	0.011679761044010403
shrimp	0.048420274435569635
sichuancuisine	0.014300016725670722
sichuanpeppercorns	0.0036040323030603998
sidedish	0.04644025695930861
sidedishes	-0.003967645314162773
skewers	0.04842027443557008
smoky	0.03388821042926038
snack	0.015138832748877125
snacks	0.03392543601074659
sobanoodles	-0.05807160033560147
soft	0.009956269133276581
souffle	-0.015923513486167124
soup	-0.04076303246632687
sourcream	0.06458508843115043
southern	-0.008924516557834505
southerncuisine	-0.02151245833789476
soysauce	0.03637232082802315
spam	0.08911923660845157
spices	0.042202740412635095
spicy	-0.018402410113376854
spicyfood	0.055411600583687465
spinach	0.03569831272228156
spring	0.010946224099133064
steamed	0.0036642859354982945
stirfry	0.01069598442261246
strawberry	0.003328068899222999
streetfood	-0.017779402239520573
stuffedpeppers	0.055411600583686466
summer	-0.022017136965486777
sushi	0.0770007866764504
sweet	-0.04153577218820456
sweetandsalty	-0.013699516183512393
sweetandsavory	0.08660335876725472
sweettreat	0.03351655073808171
taco	-0.03166947194009164
tacos	0.05668468442937284
tangy	0.018012310790028692
tart	0.00734212094540379
tea	-0.0025390218510546146
tempura	0.018910185851137382
tender	0.009657197074504813
texmex	-0.014545095981571415
thanksgiving	0.014684241890804337
toast	0.00688665366929809
tomato	0.036043476757643085
tomatoes	-0.02550008561291362
tomatosauce	-0.014182848442788505
tortilla	0.026770599298055402
tortillabowl	-0.0316694719400912
tortillachips	-0.043403456041743574
tortillas	-0.023376215040756328
traditional	0.0036642859354981835
twisted	0.002063118579219425
udonnoodles	0.018910185851137382
vanilla	-0.016996057815410796
vanillaicecream	-0.0025573413871767614
vegan	-0.21430831916255505
vegetables	0.025512882765395057
vegetarian	-0.10277630279076551
warm	0.03605557258913379
whippedcream	-0.0025573413871763043
winter	-0.019288500141280095
yeastdough	0.0020631185792198137
